,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio,ClusterID
JKHY,0.972220313634484,1.424669770613893,0.008793810585910286,1.0143471492595608,0.9481065470342843,2.208999000111098,1.5130015901225327,0.6467817896389324,0.7344485974280232,3.2056191996547123,0.0,0.4987696387775407,0.256780006413066,0.5592023267935762,0.0,0.0,0.0,0.8091402286121953,1
JEC,1.508773874971833,0.32795687990757727,1.3234229737622636,0.25851674189142315,0.09673103276877816,0.3414684696069759,0.05190095924166529,0.4001383734826088,0.7339837362671218,1.391475128151285,0.0,0.9645555947732183,0.6291895481344097,0.9783453833675448,0.5272935934651993,-0.23830471577662857,0.5425005298618125,0.38852268803988743,1
JBHT,0.6244260678469576,0.5337390712201854,0.7890559661605183,0.4926868453029601,0.5040307691519699,0.47505623657272844,0.4334381183981366,0.9278696773381969,0.8635089478059269,0.8686637197289556,22.79184321685178,0.7547926484277754,0.017520162944939962,0.7501323125751155,0.7008843583338957,-0.3552481422755193,0.714647240656401,1.1396604403942314,5
SJM,0.8394279577535521,0.7588841788522762,1.3300141850681069,0.9317220242548494,0.7923147536204624,1.9665085443218828,-0.016477476391464605,0.35454706612302783,0.7014691091333061,1.1036910650741993,0.7870365909640881,0.4827327088503428,0.22083006283810155,0.667708959711365,0.8773681436234537,-0.04317405888767564,0.7020462084058756,1.8833611100845151,1
JNJ,0.7026678048562243,1.0284202720703475,0.6441428073818956,1.5495655014901855,1.5811562471808502,1.6081520009656427,-0.5132587460394673,0.9987650723612097,0.7299853026299545,0.6045769277540025,0.45057869230448816,0.727475706478008,0.35659850846800384,0.7317934694143308,0.6842668107548306,-0.45291139756398613,0.7952593750232795,0.9668772325078023,1
JCI,1.942959805971559,0.6595803584725063,0.11491976519333798,1.5053529492306421,2.0995944126893265,2.9664855301402757,0.5340776128416524,0.2204666960186174,0.47575867461080473,0.4401667538951702,0.3610898238637493,0.9110135018274225,0.9641366878832504,0.9223048955694039,0.5300884358333894,-0.23726521865219397,0.5407986149251893,0.17309180185597486,5
JPM,1.2048524003712977,1.0027882956899803,1.2728217727269657,1.2638339082311,1.3124440462540492,0.0,0.7179258828447319,0.0,0.04786118364263679,0.0297625519907409,0.0,0.31797730849722394,0.38406862464756364,0.41577555713432074,1.3894377489267054,2.3645594559266483,1.3955608801160129,0.3964891212664015,1
JNPR,0.4292674327835392,0.4197494562326761,0.8789543209923695,0.5185072408898612,0.6604561567412328,0.46416175980446606,0.9341969881208491,0.40043473010505976,0.8310487698845741,0.9072436094441396,0.0,1.3593704938037958,1.7411476568192747,1.1474721012670166,0.8548374668383918,1.2522214286900628,0.6366503782015615,0.3572960511955023,1
KSU,0.6864105949995515,1.6190070071462261,0.7411245061382553,2.283947714193079,2.0502770149587186,0.24659673954252498,0.24257652634814167,0.6214730486194097,1.1386030401549723,0.3320741161585206,0.47748495815029834,0.865948931302494,0.7009250313525482,0.959440158568172,0.8819280361844323,-0.3630443707087787,0.7246630822170689,1.063919886292021,1
K,0.8845553915900279,0.622766045625907,1.163430798975796,1.0692575425625948,1.190598610256751,2.589243870377778,-0.1312066957311042,0.7724398747267033,0.3901273697209274,0.4521209672418725,0.9424840922695437,0.6995153735488399,0.36178088777889317,0.6705953096812988,1.2407677281324612,-0.19905127392509678,1.2756357243045358,0.8308879819647635,5
KEY,0.32127466658795006,0.8335799797920002,0.7926176763449538,1.2639297308961717,1.407410825455757,0.0,0.7179258828447319,0.0,0.0,0.0,0.0,0.006153233801193283,0.01795635897084018,0.03903148927549274,0.7134950602596595,1.063784643946426,1.2478009165330892,0.22852869415646937,1
KEYS,0.7671519187588528,0.5794159744353684,0.0,-0.3826110992607533,0.2303737933866422,0.33905566048216856,0.5390515386773921,-0.26470233063639653,0.9514075572471676,0.7570736153113217,0.46876432522164835,0.6104103546207295,0.8048994070200519,0.7506783710339507,1.150138150435367,2.0772475875699645,0.8783521349347928,0.42978922317639984,1
KMB,0.9123969098936456,0.9102260506631734,1.4572917003489747,0.9312595727884871,0.9208273411536532,1.1380236611990624,1.2550727715290921,1.5666253028422856,0.32851888532123386,0.4854691691153085,0.909153029293703,0.7725164545502993,0.42093945057242044,0.7417919422730004,1.2737589532107534,1.5122331230349344,1.7147437349887211,1.6099651368041656,1
