Ticker,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio
MCO,18.364,6.0395,16.23576964,0.422535845,0.294775699,0.814,2.8476,0.1991,3.6501,1.4668,0,1.479437694,0.802954491,1.614,0.5958,12.3418,0.92504767,7.6258
MS,9.3366,1.7006,25.56752728,0.276709801,0.218116538,0,0.109,0,0.7326,0.0461,0,0.392023353,0.207956613,1.758189264,0.2333,2.4815,0.721131792,4.2769
MOS,7.9867,1.1744,10.35944915,0.074390079,0.049023187,0.0348,0.0452,0.0342,12.9462,3.8137,5.0229,0.67890647,0.341305311,1.706,0.2251,0.4356,0.303424157,3.6637
MSI,17.4998,2.5619,14.96310529,0.179899224,0.131553861,0.4664,-0.7471,0.1547,5.2152,3.8042,21.5022,0.823643411,0.406007752,1.38,0.5654,-4.1145,1.321082692,6.6195
MSCI,21.1806,9.0508,19.15810027,0.532091014,0.354177592,0.7084,-3.0505,0.2563,3.5804,131.4273,0,1.702837302,1.117635425,1.774,0.7602,-15.469,1.069113096,7.0288
MYL,6.0334,1.2357,9.369823087,0.073526968,0.030829376,0.0892,0.029,0.0199,3.5217,2.006,4.4638,0.712563756,0.084593923,1.388,0.4235,1.1394,0.532573953,4.5514
NDAQ,13.0097,3.127,11.83060727,0.283843816,0.107084405,2.6023,0.0841,0.0702,11.5595,3.7124,0,0.188432268,0.089193303,0.97,0.244,0.7031,0.412823276,6.2699
NOV,18.9108,1.1656,16.96648196,0.014787649,-0.003667337,-0.004,-0.0022,0.0083,4.1074,3.8929,2.8228,1.50704827,0.60956856,3.109,0.1369,0.1962,0.16400484,1.3783
NTAP,13.242,2.8893,14.83385666,0.206313049,0.190205011,0.4672,1.0725,0.4699,5.4317,2.7663,48.585,1.322730799,0.601241272,1.451,0.2051,1.645,0.621921609,5.2795
NFLX,-43.5454,7.3901,14.04719065,0.104274753,0.076688353,0.3341,0.2312,0.0639,0,0.8561,0,0.584907635,0.584907635,1.494,0.3989,1.9776,0.664156392,-6.1567
NWL,12.7615,1.0054,0,-0.92107428,-0.801527071,-1.5296,-1.3257,-0.3471,4.387,1.9861,5.1566,0.747538678,0.145247304,1.987,0.3958,1.3443,0.573430118,1.4355
NEM,10.1022,2.5447,11.5711877,0.1287743,0.047015028,0.0217,0.0325,0.0326,29.5438,6.0413,2.268,2.069949636,1.900951315,2.953,0.2057,0.4057,0.288626973,3.43
NWS,8.5756,0.79,2.64964965,0.033750248,0.015386143,0.0475,0.017,0.0248,6.384,4.8543,27.8287,0.954191617,0.491916168,1.213,0.0925,0.1589,0.137114278,1.038709677
NEE,12.6007,4.9666,7.972695776,0.580618162,0.396843427,0.1122,0.1944,0.0287,5.863,1.557,5.5729,0.205374936,0.036326368,0.364,0.3637,1.1045,0.524827433,13.9328
NLSN,7.8278,1.2712,96.37868445,-0.076745971,-0.109286262,-0.8747,-0.2501,-0.023,5.4337,1.4673,0,0.990947495,0.316234158,1.209,0.5525,2.9459,0.746572904,2.9752
NKE,20.5395,3.0995,23.36418686,0.123987013,0.102998696,0.3006,0.4457,0.2662,10.0687,4.1644,7.1886,1.135901348,0.56775998,2.101,0.1467,0.3848,0.277897596,3.7368
NI,17.0511,1.8006,22.33353662,0.023990615,-0.00989344,-0.0037,-0.0088,0.004,4.8905,1.7669,11.447,0.314110186,0.029999009,0.509,0.4188,1.588,0.613605671,1.515
NBL,3.8532,1.8053,7.144679394,0.068592058,-0.013237064,-0.0036,-0.007,-0.0176,7.3109,1.011,0,0.771726535,0.414831981,1.014,0.3129,0.6974,0.410875,4.8364
JWN,5.9157,0.4834,7.403509177,0.052774275,0.03556116,0.1441,0.646,0.1471,108.2594,3.1154,7.9201,0.326826383,0.283052351,0.998,0.3405,3.0756,0.754637437,7.7466
NSC,10.9304,3.5544,9.992572335,0.351370222,0.23267586,0.0878,0.1735,0.073,11.668,1.9931,53.4172,0.527595523,0.138170591,0.719,0.3075,0.7255,0.420454974,13.6811
NTRS,10.4704,3.0975,25.64332445,0.327681725,0.260498435,0,0.1481,0,0,0,0,2.937363698,0.346267223,0.378560059,0.1064,1.3385,0.244512664,7.9207
NOC,11.1104,1.4128,11.29370392,0.14301379,0.10729357,0.4151,0.3944,0.085,5.4753,4.2446,57.2148,0.973289824,0.190838772,1.17,0.3687,1.6957,0.629043951,22.0322
NLOK,9.8298,3.1062,6.080338266,0.069964067,0.006552526,0.2246,0.0054,0.0224,6.2373,7.1411,0,0.730483271,0.475570898,0.846,0.2793,0.7759,0.436898921,2.3655
NCLH,4.5279,1.5518,8.539263445,0.204737936,0.157691681,0.1003,0.1601,0.0606,122.0668,12.9691,70.2765,0.069544517,0.052007935,0.175,0.4269,1.0887,0.521239907,9.3056
NRG,8.3379,1.2114,15.90269975,0.079974678,0.028276008,0.0631,-0.2172,0.0806,9.0095,2.0985,21.9145,0.987489575,0.241868224,1.501,0.7055,-6.0762,1.196998723,4.5296
NUE,6.7941,0.6488,5.495123808,0.129436027,0.094177234,0.2114,0.2411,0.1555,11.0572,4.8253,6.2549,1.391317393,0.498480562,3.077,0.2395,0.4382,0.304699123,7.6257
NVDA,22.4916,7.1856,20.51662846,0.337487197,0.353448276,0.3895,0.4433,0.5236,8.714,3.9837,9.8827,6.65613243,0.58841234,7.944,0.1496,0.2128,0.175463372,6.1563
NVR,12.1826,1.2577,10.12819017,0.140601122,0.113815306,0,0.4408,0,362.2885,6.7004,5.605,0.987590789,0.963063158,2.636842105,0.1888,0.3305,0.248487261,199.1534
ORLY,15.9661,2.8923,15.16946701,0.190450345,0.138887118,0.4093,3.745,0.2797,33.8972,0.7051,3.0747,0.077425386,0.008041818,0.91,0.4282,9.662,0.906208754,21.2215
OXY,6.043,2.4476,5.8451282,0.316731805,0.218178937,0.1217,0.1937,0.1056,3.4735,1.0335,15.1109,1.176875337,0.409201295,1.34,0.2353,0.4837,0.326002465,10.1573
OMC,9.53,1.0735,10.34548051,0.136394553,0.086748375,-1.5625,0.5207,0.2168,1.9416,0.3548,13.4591,0.741575094,0.239184817,0.899,0.1987,1.9205,0.657597225,7.6852
OKE,10.149,1.7623,12.65547924,0.157563338,0.091454385,0.0819,0.175,0.0685,12.4567,2.7796,28.9354,0.394099228,0.005679565,0.663,0.5161,1.43,0.588483711,5.3142
ORCL,11.8846,4.3774,14.8281545,0.363235964,0.280539665,0.3259,0.5087,0.1506,7.6935,20.0848,0,2.306011809,1.101127214,2.49,0.5167,2.5782,0.720533149,4.0041
PCAR,6.6727,0.8498,8.20827187,0.127559511,0.093425606,0.2295,0.2555,0.1039,2.0449,1.9068,22.2381,4.462098421,0.92293435,1.924,0.3905,1.158,0.536606016,8.5251
PKG,6.6831,1.1243,7.228387971,0.152211103,0.105209135,0.1629,0.2762,0.121,8.0972,4.4491,9.004,1.821510957,0.521193772,3.049,0.3809,0.9365,0.483604182,12.4882
PH,12.6036,1.5227,3.806132812,0.148250556,0.105609622,0.2405,0.2537,0.1108,5.8264,2.5894,8.6805,1.844187383,1.021573254,2.435,0.4044,1.1922,0.543836737,13.4866
PAYX,24.2488,8.1729,20.92185228,0.361749503,0.274194831,0.8333,0.3949,0.2794,5.7194,13.107,0,0.328173375,0.149473684,1.172,0.0933,0.309,0.236052378,3.5398
